V1,V2,V3,V4,V5
0.019206702872229992,0.002722627465390377,0.05301590016305249,0.0680833333556176,-0.045833671888046344
0.019206702872229902,0.0027226274653903842,0.05301590016305244,0.06808333335561767,-0.04583367188804636
0.0874946591349273,0.0688850344981561,0.24790269859371622,0.23835017546834103,-0.2396206208811449
0.07736018305301015,0.07975757675148581,0.21081335006080307,0.2720849060097539,-0.1859705578359791
0.10291992991838783,-0.09203140850395251,0.04597910329777307,0.019055917423665334,-0.13478925215959706
0.00891246385375592,0.012393668585736607,0.006468657496882149,-0.003117458424382817,-0.022206847677394722
0.33822418403678445,0.389105764486923,-0.056806011620032675,0.12064721181448904,-0.3263303490690304
0.18662849892531272,-0.06487137631941162,-0.2099492557742927,0.017489220959824484,-0.22644523750414783
0.14794016403684224,0.2228330980922814,-0.05956730723911062,-0.001338490450990828,0.11760876539973616
0.4012336991064179,0.2762254606192249,-0.24364393924805328,-0.2574120423766712,0.025124244778515818
0.14794016403684232,0.2228330980922813,-0.059567307239110495,-0.0013384904509908622,0.11760876539973615
0.03084388620610195,0.022671911861133237,-0.05780407700011195,0.0013192114442675922,-0.09467542012988478
0.02922131391509287,-0.021070405513654494,-0.04878432397660834,0.005595170316131094,-0.02853280666994483
0.08258152548701933,0.0634763739082679,0.09193782401297827,-0.18111913838679294,0.06506100742663005
0.33744378991194046,0.15646207446620597,-0.3467581136446915,-0.03420129124467698,-0.1731860248211275
0.09923284142928404,0.009256622018530046,-0.20145340216044494,-0.03252846384874654,-0.1630829723265226
0,0,0,0,0
0.8013390581996054,-0.320236598153563,-0.9475973153965164,0.2163440066040889,-0.7291113942616638
0.3561810357755296,-0.1683543470299816,-0.41087035891164353,-0.008063871565895196,-0.5746528846682342
0.24708480211163925,0.29430127843310694,0.0028409125836425246,-0.1847511882557218,0.14581352351319835
0.2273909971557868,-0.05739913126971381,-0.427604866221333,-0.01980659393033362,-0.3702836691823852
0.16252346681964883,0.011957186048343322,0.26069208274140865,0.20697485519727105,-0.2846386034182336
0.34365664018854836,0.25141297482783376,-0.4824383296976979,-0.017203615048638272,-0.2592245889653285
0.35175341740767113,0.24646528330234863,-0.45782738637712556,0.01960196048305773,-0.24383810120666383
0.01820269563540929,0.010243891826632606,-0.060292486046476884,0.004247930335870429,-0.05898672276022623
