,0
0,0.122
1,0.093
2,0.13
3,0.125
4,0.113
5,0.111
6,0.113
7,0.121
8,0.113
9,0.118
10,0.117
11,0.13
12,0.114
13,0.114
14,0.104
15,0.099
16,0.133
17,0.102
18,0.115
19,0.113
20,0.125
21,0.119
22,0.098
23,0.122
24,0.114
25,0.126
26,0.114
27,0.113
28,0.091
29,0.112
30,0.115
31,0.122
32,0.108
33,0.114
34,0.132
35,0.109
36,0.136
37,0.127
38,0.127
39,0.104
40,0.105
41,0.093
42,0.107
43,0.133
44,0.115
45,0.124
46,0.108
47,0.133
48,0.099
49,0.115
50,0.124
51,0.129
52,0.117
53,0.112
54,0.152
55,0.13
56,0.101
57,0.138
58,0.13
59,0.12
60,0.133
61,0.134
62,0.119
63,0.125
64,0.11
65,0.13
66,0.11
67,0.121
68,0.117
69,0.111
70,0.122
71,0.119
72,0.126
73,0.127
74,0.102
75,0.12
76,0.108
77,0.118
78,0.118
79,0.111
80,0.108
81,0.11
82,0.127
83,0.132
84,0.101
85,0.123
86,0.125
87,0.105
88,0.117
89,0.113
90,0.114
91,0.105
92,0.121
93,0.109
94,0.101
95,0.127
96,0.138
97,0.11
98,0.12
99,0.111
100,0.116
101,0.118
102,0.142
103,0.112
104,0.108
105,0.121
106,0.126
107,0.112
108,0.114
109,0.116
110,0.105
111,0.104
112,0.128
113,0.122
114,0.108
115,0.126
116,0.1
117,0.11
118,0.11
119,0.114
120,0.122
121,0.12
122,0.115
123,0.106
124,0.126
125,0.115
126,0.132
127,0.127
128,0.114
129,0.128
130,0.112
131,0.105
132,0.129
133,0.112
134,0.131
135,0.116
136,0.13
137,0.102
138,0.109
139,0.119
140,0.121
141,0.123
142,0.125
143,0.115
144,0.112
145,0.128
146,0.122
147,0.121
148,0.114
149,0.117
150,0.109
151,0.111
152,0.115
153,0.109
154,0.114
155,0.106
156,0.107
157,0.115
158,0.104
159,0.115
160,0.125
161,0.103
162,0.122
163,0.128
164,0.117
165,0.128
166,0.133
167,0.107
168,0.115
169,0.11
170,0.109
171,0.102
172,0.122
173,0.129
174,0.125
175,0.1
176,0.118
177,0.101
178,0.101
179,0.118
180,0.122
181,0.122
182,0.124
183,0.094
184,0.109
185,0.112
186,0.119
187,0.113
188,0.111
189,0.113
190,0.126
191,0.113
192,0.092
193,0.11
194,0.12
195,0.105
196,0.113
197,0.12
198,0.124
199,0.142
200,0.123
201,0.116
202,0.115
203,0.122
204,0.098
205,0.113
206,0.11
207,0.109
208,0.116
209,0.114
210,0.122
211,0.133
212,0.108
213,0.118
214,0.103
215,0.135
216,0.14
217,0.131
218,0.121
219,0.121
220,0.1
221,0.124
222,0.137
223,0.114
224,0.098
225,0.137
226,0.128
227,0.124
228,0.131
229,0.129
230,0.125
231,0.118
232,0.126
233,0.123
234,0.115
235,0.126
236,0.123
237,0.125
238,0.125
239,0.109
240,0.118
241,0.155
242,0.134
243,0.123
244,0.133
245,0.122
246,0.124
247,0.135
248,0.103
249,0.108
250,0.129
251,0.125
252,0.133
253,0.113
254,0.131
255,0.124
256,0.127
257,0.137
258,0.103
259,0.113
260,0.112
261,0.107
262,0.14
263,0.118
264,0.117
265,0.115
266,0.128
267,0.101
268,0.108
269,0.126
270,0.123
271,0.114
272,0.113
273,0.103
274,0.12
275,0.11
276,0.143
277,0.12
278,0.114
279,0.106
280,0.126
281,0.116
282,0.103
283,0.123
284,0.129
285,0.107
286,0.119
287,0.125
288,0.113
289,0.112
290,0.112
291,0.131
292,0.105
293,0.111
294,0.117
295,0.118
296,0.127
297,0.135
298,0.113
299,0.112
300,0.11
301,0.123
302,0.111
303,0.104
304,0.123
305,0.124
306,0.114
307,0.119
308,0.101
309,0.097
310,0.113
311,0.119
312,0.114
313,0.109
314,0.117
315,0.109
316,0.115
317,0.118
318,0.116
319,0.118
320,0.107
321,0.127
322,0.103
323,0.129
324,0.115
325,0.109
326,0.116
327,0.126
328,0.12
329,0.145
330,0.118
331,0.124
332,0.113
333,0.115
334,0.12
335,0.118
336,0.12
337,0.115
338,0.123
339,0.126
340,0.131
341,0.124
342,0.119
343,0.124
344,0.114
345,0.118
346,0.108
347,0.121
348,0.119
349,0.122
350,0.118
351,0.128
352,0.125
353,0.132
354,0.127
355,0.116
356,0.114
357,0.105
358,0.109
359,0.11
360,0.129
361,0.129
362,0.114
363,0.124
364,0.119
365,0.104
366,0.108
367,0.114
368,0.117
369,0.109
370,0.111
371,0.119
372,0.12
373,0.111
374,0.114
375,0.125
376,0.123
377,0.118
378,0.121
379,0.117
380,0.11
381,0.139
382,0.12
383,0.103
384,0.133
385,0.121
386,0.121
387,0.126
388,0.111
389,0.116
390,0.129
391,0.141
392,0.118
393,0.121
394,0.108
395,0.115
396,0.115
397,0.105
398,0.105
399,0.106
400,0.107
401,0.119
402,0.123
403,0.146
404,0.126
405,0.119
406,0.109
407,0.12
408,0.099
409,0.118
410,0.105
411,0.104
412,0.111
413,0.115
414,0.124
415,0.135
416,0.108
417,0.132
418,0.11
419,0.123
420,0.13
421,0.101
422,0.097
423,0.121
424,0.13
425,0.1
426,0.128
427,0.107
428,0.112
429,0.106
430,0.129
431,0.119
432,0.118
433,0.128
434,0.125
435,0.129
436,0.118
437,0.121
438,0.131
439,0.117
440,0.123
441,0.104
442,0.108
443,0.112
444,0.101
445,0.108
446,0.107
447,0.124
448,0.118
449,0.102
450,0.122
451,0.119
452,0.129
453,0.123
454,0.123
455,0.113
456,0.117
457,0.128
458,0.118
459,0.093
460,0.124
461,0.103
462,0.107
463,0.122
464,0.114
465,0.116
466,0.13
467,0.131
468,0.107
469,0.139
470,0.104
471,0.109
472,0.11
473,0.116
474,0.126
475,0.136
476,0.113
477,0.118
478,0.124
479,0.119
480,0.128
481,0.122
482,0.116
483,0.128
484,0.128
485,0.101
486,0.117
487,0.11
488,0.127
489,0.116
490,0.1
491,0.128
492,0.147
493,0.114
494,0.128
495,0.121
496,0.112
497,0.109
498,0.107
499,0.119
500,0.107
501,0.115
502,0.114
503,0.099
504,0.13
505,0.108
506,0.116
507,0.108
508,0.129
509,0.1
510,0.115
511,0.136
512,0.117
513,0.116
514,0.113
515,0.121
516,0.114
517,0.128
518,0.112
519,0.122
520,0.105
521,0.114
522,0.119
523,0.114
524,0.12
525,0.115
526,0.11
527,0.121
528,0.125
529,0.121
530,0.129
531,0.11
532,0.108
533,0.119
534,0.103
535,0.1
536,0.137
537,0.137
538,0.124
539,0.104
540,0.128
541,0.124
542,0.117
543,0.104
544,0.143
545,0.146
546,0.113
547,0.114
548,0.129
549,0.112
550,0.127
551,0.139
552,0.121
553,0.097
554,0.11
555,0.127
556,0.115
557,0.133
558,0.128
559,0.111
560,0.111
561,0.121
562,0.115
563,0.149
564,0.111
565,0.112
566,0.123
567,0.1
568,0.118
569,0.108
570,0.122
571,0.113
572,0.136
573,0.121
574,0.11
575,0.11
576,0.12
577,0.137
578,0.122
579,0.112
580,0.109
581,0.12
582,0.118
583,0.119
584,0.125
585,0.103
586,0.127
587,0.113
588,0.115
589,0.139
590,0.112
591,0.118
592,0.123
593,0.11
594,0.123
595,0.116
596,0.125
597,0.126
598,0.112
599,0.132
600,0.127
601,0.102
602,0.108
603,0.12
604,0.121
605,0.11
606,0.108
607,0.114
608,0.129
609,0.124
610,0.128
611,0.11
612,0.122
613,0.124
614,0.118
615,0.119
616,0.118
617,0.131
618,0.116
619,0.14
620,0.13
621,0.103
622,0.124
623,0.11
624,0.126
625,0.107
626,0.116
627,0.102
628,0.121
629,0.11
630,0.125
631,0.101
632,0.113
633,0.117
634,0.103
635,0.121
636,0.107
637,0.113
638,0.126
639,0.106
640,0.096
641,0.105
642,0.114
643,0.115
644,0.108
645,0.1
646,0.099
647,0.117
648,0.127
649,0.123
650,0.115
651,0.122
652,0.115
653,0.132
654,0.113
655,0.111
656,0.121
657,0.105
658,0.126
659,0.106
660,0.115
661,0.131
662,0.134
663,0.112
664,0.118
665,0.113
666,0.105
667,0.103
668,0.102
669,0.127
670,0.124
671,0.102
672,0.12
673,0.114
674,0.126
675,0.111
676,0.1
677,0.119
678,0.108
679,0.12
680,0.121
681,0.101
682,0.11
683,0.114
684,0.11
685,0.109
686,0.128
687,0.125
688,0.104
689,0.128
690,0.12
691,0.134
692,0.124
693,0.115
694,0.113
695,0.107
696,0.117
697,0.123
698,0.121
699,0.131
700,0.101
701,0.13
702,0.108
703,0.11
704,0.128
705,0.113
706,0.123
707,0.118
708,0.11
709,0.108
710,0.127
711,0.125
712,0.111
713,0.123
714,0.126
715,0.124
716,0.118
717,0.109
718,0.12
719,0.104
720,0.122
721,0.119
722,0.11
723,0.148
724,0.119
725,0.113
726,0.108
727,0.117
728,0.124
729,0.115
730,0.107
731,0.121
732,0.123
733,0.108
734,0.126
735,0.109
736,0.112
737,0.117
738,0.112
739,0.121
740,0.107
741,0.117
742,0.131
743,0.115
744,0.124
745,0.11
746,0.101
747,0.126
748,0.115
749,0.143
750,0.129
751,0.122
752,0.113
753,0.106
754,0.121
755,0.108
756,0.121
757,0.125
758,0.117
759,0.121
760,0.103
761,0.116
762,0.129
763,0.134
764,0.123
765,0.124
766,0.123
767,0.12
768,0.12
769,0.122
770,0.105
771,0.11
772,0.118
773,0.102
774,0.12
775,0.128
776,0.118
777,0.104
778,0.125
779,0.108
780,0.115
781,0.112
782,0.113
783,0.105
784,0.107
785,0.099
786,0.125
787,0.11
788,0.135
789,0.127
790,0.124
791,0.1
792,0.104
793,0.116
794,0.123
795,0.109
796,0.127
797,0.119
798,0.144
799,0.104
800,0.128
801,0.126
802,0.114
803,0.103
804,0.109
805,0.111
806,0.115
807,0.111
808,0.105
809,0.123
810,0.114
811,0.109
812,0.108
813,0.125
814,0.118
815,0.128
816,0.118
817,0.12
818,0.097
819,0.114
820,0.118
