,0
532,0.139
533,0.138
534,0.127
535,0.139
536,0.132
537,0.122
538,0.145
539,0.122
540,0.131
541,0.143
542,0.142
543,0.12
544,0.13
545,0.133
546,0.126
547,0.124
548,0.118
549,0.13
550,0.144
551,0.151
552,0.145
553,0.132
554,0.108
555,0.141
556,0.143
557,0.127
558,0.132
559,0.122
560,0.129
561,0.125
562,0.132
563,0.138
564,0.137
565,0.118
566,0.15
567,0.129
568,0.116
569,0.137
570,0.138
571,0.129
572,0.126
573,0.146
574,0.133
575,0.125
576,0.141
577,0.129
578,0.121
579,0.142
580,0.144
581,0.126
582,0.141
583,0.14
584,0.136
585,0.108
586,0.134
587,0.135
588,0.127
589,0.131
590,0.135
591,0.134
592,0.129
593,0.129
594,0.141
595,0.122
596,0.153
597,0.133
598,0.123
599,0.134
600,0.143
601,0.125
602,0.122
603,0.14
604,0.122
605,0.142
606,0.103
607,0.14
608,0.127
609,0.132
610,0.122
611,0.142
612,0.121
613,0.138
614,0.128
615,0.156
616,0.126
617,0.138
618,0.14
619,0.128
620,0.138
621,0.127
622,0.143
623,0.129
624,0.131
625,0.136
626,0.137
627,0.132
628,0.137
629,0.129
630,0.127
631,0.139
632,0.129
633,0.144
634,0.14
635,0.15
636,0.132
637,0.114
638,0.153
639,0.127
640,0.109
641,0.122
642,0.131
643,0.132
644,0.136
645,0.118
646,0.134
647,0.13
648,0.126
649,0.144
650,0.132
651,0.134
652,0.135
653,0.142
654,0.146
655,0.154
656,0.135
657,0.127
658,0.124
659,0.127
660,0.137
661,0.121
662,0.144
663,0.139
664,0.143
665,0.135
666,0.148
667,0.139
668,0.139
669,0.125
670,0.143
671,0.141
672,0.12
673,0.142
674,0.14
675,0.13
676,0.134
677,0.133
678,0.134
679,0.14
680,0.148
681,0.135
682,0.128
683,0.146
684,0.153
685,0.133
686,0.125
687,0.119
688,0.113
689,0.143
690,0.12
691,0.132
692,0.133
693,0.14
694,0.145
695,0.146
696,0.136
697,0.121
698,0.136
699,0.142
700,0.129
701,0.148
702,0.149
703,0.123
704,0.134
705,0.139
706,0.127
707,0.119
708,0.13
709,0.136
710,0.129
711,0.143
712,0.133
