,0
0,0.313
1,0.329
2,0.253
3,0.273
4,0.223
5,0.263
6,0.261
7,0.473
8,0.283
9,0.235
10,0.374
11,0.213
12,0.192
13,0.209
14,0.162
15,0.207
16,0.298
17,0.288
18,0.263
19,0.214
20,0.2
21,0.152
22,0.216
23,0.277
24,0.14
25,0.124
26,0.442
27,0.346
28,0.253
29,0.072
30,0.114
31,0.18
32,0.303
33,0.279
34,0.402
35,0.166
36,0.351
37,0.225
38,0.224
39,0.367
40,0.349
41,0.241
42,0.425
43,0.192
44,0.186
45,0.514
46,0.259
47,0.235
48,0.442
49,0.228
50,0.353
51,0.408
52,0.09
53,0.288
54,0.404
55,0.454
56,0.356
57,0.27
58,0.513
59,0.247
60,0.226
61,0.319
62,0.29
63,0.23
64,0.222
65,0.347
66,0.293
67,0.144
68,0.3
69,0.149
70,0.29
71,0.285
72,0.213
73,0.402
74,0.192
75,0.554
76,0.143
77,0.337
78,0.199
79,0.278
80,0.174
81,0.483
82,0.38
83,0.195
84,0.266
85,0.233
86,0.256
87,0.394
88,0.188
89,0.229
90,0.279
91,0.186
92,0.275
93,0.139
94,0.274
95,0.272
96,0.304
97,0.364
98,0.494
99,0.265
100,0.379
101,0.368
102,0.323
103,0.465
104,0.461
105,0.426
106,0.282
107,0.159
108,0.547
109,0.243
110,0.247
111,0.405
112,0.222
113,0.423
114,0.252
115,0.203
116,0.295
117,0.263
118,0.297
119,0.498
120,0.335
121,0.587
122,0.329
123,0.202
124,0.529
125,0.328
126,0.284
127,0.448
128,0.301
129,0.143
130,0.316
131,0.152
132,0.359
133,0.142
134,0.223
135,0.201
136,0.34
137,0.288
138,0.26
139,0.462
140,0.43
141,0.237
142,0.23
143,0.215
144,0.378
145,0.154
146,0.287
147,0.218
148,0.234
149,0.212
150,0.245
151,0.212
152,0.253
153,0.203
154,0.255
155,0.158
156,0.23
157,0.348
158,0.504
159,0.239
160,0.287
161,0.556
162,0.352
163,0.359
164,0.277
165,0.364
166,0.207
167,0.2
168,0.171
169,0.289
170,0.287
171,0.238
172,0.304
173,0.209
174,0.391
175,0.141
176,0.172
177,0.406
178,0.189
179,0.51
180,0.164
181,0.141
182,0.206
183,0.201
184,0.481
185,0.324
186,0.407
187,0.245
188,0.136
189,0.316
190,0.256
191,0.22
192,0.256
193,0.543
194,0.4
195,0.371
196,0.281
197,0.259
198,0.368
199,0.232
200,0.239
201,0.219
202,0.458
203,0.37
204,0.372
205,0.349
206,0.179
207,0.364
208,0.383
209,0.162
210,0.19
211,0.217
212,0.29
213,0.222
214,0.258
215,0.187
216,0.222
217,0.26
218,0.224
219,0.274
220,0.219
221,0.286
222,0.311
223,0.448
224,0.141
225,0.181
226,0.225
227,0.207
228,0.256
229,0.209
230,0.318
231,0.268
232,0.38
233,0.252
234,0.345
235,0.28
236,0.261
237,0.472
238,0.134
239,0.431
240,0.348
241,0.277
242,0.384
243,0.464
244,0.529
245,0.288
246,0.28
247,0.415
248,0.283
249,0.294
250,0.238
251,0.373
252,0.243
253,0.171
254,0.263
255,0.345
256,0.443
257,0.301
258,0.261
259,0.362
260,0.23
261,0.129
262,0.62
263,0.34
264,0.466
265,0.323
266,0.548
267,0.238
268,0.207
269,0.401
270,0.205
271,0.208
272,0.555
273,0.423
274,0.343
275,0.27
276,0.145
277,0.233
278,0.288
279,0.433
280,0.27
281,0.2
282,0.36
283,0.4
284,0.29
285,0.244
286,0.406
287,0.449
288,0.274
289,0.415
290,0.217
291,0.309
292,0.427
293,0.322
294,0.276
295,0.328
296,0.585
297,0.323
298,0.566
299,0.213
300,0.382
301,0.266
302,0.231
303,0.246
304,0.364
305,0.22
306,0.156
307,0.167
308,0.313
309,0.45
310,0.19
311,0.421
312,0.325
313,0.113
314,0.325
315,0.531
316,0.165
317,0.245
318,0.329
319,0.22
320,0.375
321,0.179
322,0.277
323,0.227
324,0.562
325,0.185
326,0.128
327,0.205
328,0.225
329,0.231
330,0.52
331,0.354
332,0.281
333,0.383
334,0.258
335,0.225
336,0.306
337,0.133
338,0.312
339,0.27
340,0.452
341,0.54
342,0.3
343,0.327
344,0.289
345,0.228
346,0.353
347,0.251
348,0.272
349,0.339
350,0.455
351,0.209
352,0.443
353,0.205
354,0.228
355,0.456
356,0.091
357,0.234
358,0.431
359,0.33
360,0.173
361,0.177
362,0.281
363,0.237
364,0.281
365,0.33
366,0.286
367,0.164
368,0.422
369,0.449
370,0.22
371,0.136
372,0.287
373,0.246
374,0.192
375,0.346
376,0.265
377,0.261
378,0.241
379,0.188
380,0.293
381,0.465
382,0.29
383,0.342
384,0.235
385,0.262
386,0.341
387,0.298
388,0.457
389,0.226
390,0.25
391,0.197
392,0.214
393,0.249
394,0.317
395,0.221
396,0.337
397,0.126
398,0.223
399,0.217
400,0.509
401,0.298
402,0.234
403,0.48
404,0.378
405,0.29
406,0.14
407,0.433
408,0.391
409,0.391
410,0.239
411,0.331
412,0.38
413,0.41
414,0.176
415,0.267
416,0.324
417,0.225
418,0.192
419,0.365
420,0.302
421,0.283
422,0.278
423,0.135
424,0.314
425,0.206
426,0.479
427,0.346
428,0.17
429,0.357
430,0.532
431,0.202
432,0.242
433,0.338
434,0.688
435,0.318
436,0.367
437,0.16
438,0.225
439,0.395
440,0.258
441,0.267
442,0.55
443,0.318
444,0.235
445,0.144
446,0.408
447,0.268
448,0.243
449,0.309
450,0.443
451,0.364
452,0.201
453,0.341
454,0.184
455,0.149
456,0.349
457,0.335
458,0.305
459,0.272
460,0.199
461,0.372
462,0.149
463,0.176
464,0.137
465,0.311
466,0.273
467,0.427
468,0.282
469,0.36
470,0.263
471,0.22
472,0.245
473,0.14
474,0.399
475,0.351
476,0.164
477,0.293
478,0.286
479,0.296
480,0.312
481,0.385
482,0.227
483,0.52
484,0.266
485,0.497
486,0.266
487,0.189
488,0.17
489,0.246
490,0.267
491,0.218
492,0.211
493,0.305
494,0.15
495,0.154
496,0.214
497,0.406
498,0.452
499,0.448
500,0.286
501,0.349
502,0.179
503,0.213
504,0.309
505,0.518
506,0.16
507,0.297
508,0.281
509,0.326
510,0.24
511,0.165
512,0.209
513,0.204
514,0.349
515,0.301
516,0.147
517,0.115
518,0.49
519,0.274
520,0.384
521,0.381
522,0.286
523,0.414
524,0.147
525,0.259
526,0.473
527,0.498
528,0.409
529,0.227
530,0.162
531,0.335
532,0.33
533,0.295
534,0.325
535,0.087
536,0.418
537,0.275
538,0.258
539,0.499
540,0.279
541,0.241
542,0.146
543,0.201
544,0.227
545,0.362
546,0.301
547,0.143
548,0.268
549,0.297
550,0.19
551,0.127
552,0.136
553,0.289
554,0.218
555,0.381
556,0.284
557,0.385
558,0.395
559,0.37
560,0.127
561,0.324
562,0.357
563,0.158
564,0.388
565,0.366
566,0.462
567,0.261
568,0.263
569,0.45
570,0.505
571,0.24
572,0.305
573,0.283
574,0.32
575,0.23
576,0.423
577,0.17
578,0.451
579,0.219
580,0.298
581,0.245
582,0.204
583,0.378
584,0.249
585,0.183
586,0.399
587,0.288
588,0.062
589,0.289
590,0.301
591,0.544
592,0.256
593,0.498
594,0.556
595,0.342
596,0.384
597,0.359
598,0.232
599,0.339
600,0.179
601,0.256
602,0.271
603,0.182
604,0.493
605,0.346
606,0.239
607,0.168
608,0.267
609,0.174
610,0.283
611,0.333
612,0.205
613,0.313
614,0.291
615,0.292
616,0.189
617,0.359
618,0.141
619,0.223
620,0.19
621,0.254
622,0.145
623,0.231
624,0.324
625,0.3
626,0.209
627,0.226
628,0.268
629,0.296
630,0.133
631,0.152
632,0.288
633,0.194
634,0.212
635,0.129
636,0.333
637,0.306
638,0.157
639,0.41
640,0.318
641,0.263
642,0.212
643,0.179
644,0.411
645,0.193
646,0.173
647,0.284
648,0.231
649,0.355
650,0.228
651,0.272
652,0.352
653,0.056
654,0.138
655,0.346
656,0.169
657,0.212
658,0.337
659,0.334
660,0.405
661,0.248
662,0.235
663,0.219
664,0.132
665,0.315
666,0.406
667,0.25
668,0.205
669,0.256
670,0.327
671,0.224
672,0.326
673,0.265
674,0.242
675,0.399
676,0.192
677,0.257
678,0.218
679,0.246
680,0.221
681,0.166
682,0.262
683,0.101
684,0.231
685,0.282
686,0.304
687,0.181
688,0.213
689,0.164
690,0.223
691,0.264
692,0.567
693,0.342
694,0.345
695,0.12
696,0.239
697,0.231
698,0.296
699,0.409
700,0.467
701,0.384
702,0.11
703,0.074
704,0.145
705,0.227
706,0.39
707,0.184
708,0.236
709,0.391
710,0.316
711,0.158
712,0.449
713,0.598
714,0.246
715,0.424
716,0.443
717,0.283
718,0.248
719,0.281
720,0.319
721,0.535
722,0.297
723,0.235
724,0.324
725,0.441
726,0.193
727,0.434
728,0.221
729,0.326
730,0.18
731,0.356
732,0.231
733,0.33
734,0.343
735,0.223
736,0.211
737,0.376
738,0.274
739,0.33
740,0.189
741,0.259
742,0.313
743,0.239
744,0.219
745,0.322
746,0.335
747,0.462
748,0.122
749,0.309
750,0.145
751,0.371
752,0.32
753,0.328
754,0.493
755,0.33
756,0.28
757,0.136
758,0.504
759,0.367
760,0.312
761,0.387
762,0.182
763,0.176
764,0.496
765,0.343
766,0.111
767,0.079
768,0.179
769,0.433
770,0.496
771,0.294
772,0.259
773,0.204
774,0.295
775,0.177
776,0.236
777,0.253
778,0.249
779,0.334
780,0.219
781,0.451
782,0.434
783,0.358
784,0.262
785,0.204
786,0.25
787,0.265
788,0.358
789,0.335
790,0.336
791,0.253
792,0.38
793,0.312
794,0.326
795,0.147
796,0.11
797,0.309
798,0.254
799,0.406
800,0.21
801,0.516
802,0.276
803,0.348
804,0.296
805,0.339
806,0.445
807,0.255
808,0.262
809,0.419
810,0.236
811,0.464
812,0.341
813,0.226
814,0.339
815,0.433
816,0.251
817,0.341
818,0.195
819,0.167
820,0.251
821,0.275
822,0.267
823,0.1
824,0.21
825,0.252
826,0.398
827,0.419
828,0.366
829,0.242
830,0.23
831,0.273
832,0.199
833,0.403
834,0.223
835,0.457
836,0.156
837,0.176
838,0.372
839,0.613
840,0.252
841,0.419
842,0.257
843,0.285
844,0.397
845,0.247
846,0.337
847,0.208
848,0.392
849,0.187
850,0.42
851,0.175
852,0.332
853,0.147
854,0.133
855,0.444
856,0.352
857,0.209
858,0.252
859,0.194
860,0.372
861,0.348
862,0.203
863,0.35
864,0.316
865,0.208
866,0.292
867,0.181
868,0.205
869,0.241
870,0.333
871,0.249
872,0.548
873,0.434
874,0.275
875,0.3
876,0.16
877,0.325
878,0.273
879,0.265
880,0.381
881,0.322
882,0.366
883,0.563
884,0.34
885,0.27
886,0.254
887,0.253
888,0.187
889,0.14
890,0.244
891,0.439
892,0.302
893,0.205
894,0.568
895,0.293
896,0.346
897,0.379
898,0.383
899,0.257
900,0.279
901,0.198
902,0.217
903,0.207
904,0.309
905,0.31
906,0.372
907,0.247
908,0.191
909,0.157
910,0.305
911,0.339
912,0.34
913,0.202
914,0.333
915,0.257
916,0.244
917,0.226
918,0.32
919,0.275
920,0.181
921,0.271
922,0.227
923,0.22
924,0.238
925,0.296
926,0.259
927,0.281
928,0.306
929,0.207
930,0.334
931,0.229
932,0.2
933,0.363
934,0.474
935,0.141
936,0.265
937,0.496
938,0.244
939,0.327
940,0.42
