,0
0,0.09
1,0.178
2,0.08
3,0.14
4,0.104
5,0.126
6,0.153
7,0.103
8,0.13
9,0.127
10,0.158
11,0.108
12,0.149
13,0.13
14,0.095
15,0.103
16,0.103
17,0.116
18,0.105
19,0.092
20,0.148
21,0.103
22,0.123
23,0.114
24,0.121
25,0.131
26,0.096
27,0.131
28,0.091
29,0.158
30,0.146
31,0.095
32,0.122
33,0.099
34,0.118
35,0.146
36,0.103
37,0.162
38,0.112
39,0.133
40,0.105
41,0.173
42,0.122
43,0.101
44,0.119
45,0.097
46,0.122
47,0.114
48,0.122
49,0.083
50,0.102
51,0.074
52,0.149
53,0.09
54,0.104
55,0.153
56,0.086
57,0.158
58,0.146
59,0.124
60,0.134
61,0.09
62,0.104
63,0.105
64,0.13
65,0.142
66,0.138
67,0.108
68,0.089
69,0.086
70,0.106
71,0.108
72,0.137
73,0.129
74,0.14
75,0.088
76,0.11
77,0.131
78,0.134
79,0.08
80,0.16
81,0.127
82,0.13
83,0.108
84,0.1
85,0.133
86,0.08
87,0.124
88,0.084
89,0.152
90,0.068
91,0.11
92,0.086
93,0.101
94,0.063
95,0.074
96,0.122
97,0.084
98,0.097
99,0.082
100,0.081
101,0.08
102,0.124
103,0.1
104,0.161
105,0.09
106,0.11
107,0.081
108,0.112
109,0.096
110,0.093
111,0.14
112,0.096
113,0.082
114,0.101
115,0.097
116,0.191
117,0.116
118,0.107
119,0.131
120,0.121
121,0.099
122,0.148
123,0.113
124,0.154
125,0.107
126,0.099
127,0.143
128,0.143
129,0.103
130,0.134
131,0.149
132,0.105
133,0.097
134,0.135
135,0.124
136,0.143
137,0.121
138,0.113
139,0.1
140,0.11
141,0.157
142,0.138
143,0.129
144,0.121
145,0.106
146,0.101
147,0.129
148,0.099
149,0.123
150,0.098
151,0.117
152,0.056
153,0.111
154,0.088
155,0.168
156,0.094
157,0.162
158,0.136
159,0.104
160,0.147
161,0.123
162,0.056
163,0.134
164,0.086
165,0.108
166,0.098
167,0.13
168,0.138
169,0.094
170,0.142
171,0.095
172,0.118
173,0.097
174,0.151
175,0.104
176,0.166
177,0.158
178,0.172
179,0.096
180,0.111
181,0.063
182,0.082
183,0.099
184,0.122
185,0.112
186,0.153
187,0.107
188,0.168
189,0.073
190,0.062
191,0.096
192,0.139
193,0.107
194,0.129
195,0.126
196,0.144
197,0.111
198,0.107
199,0.106
200,0.148
201,0.079
202,0.12
203,0.117
204,0.091
205,0.121
206,0.101
207,0.193
208,0.113
209,0.118
210,0.093
211,0.112
212,0.163
213,0.1
214,0.124
215,0.134
216,0.137
217,0.085
218,0.15
219,0.109
220,0.065
221,0.095
222,0.176
223,0.136
224,0.154
225,0.151
226,0.145
227,0.151
228,0.094
229,0.135
230,0.12
231,0.106
232,0.085
233,0.129
234,0.08
235,0.126
236,0.137
237,0.081
238,0.143
239,0.107
240,0.073
241,0.098
242,0.174
243,0.124
244,0.097
245,0.154
246,0.125
247,0.12
248,0.112
249,0.135
250,0.077
251,0.124
252,0.173
253,0.112
254,0.14
255,0.116
256,0.09
257,0.093
258,0.118
259,0.173
260,0.095
261,0.07
262,0.117
263,0.087
264,0.13
265,0.115
266,0.094
267,0.09
268,0.105
269,0.126
270,0.08
271,0.148
272,0.136
273,0.083
274,0.151
275,0.102
276,0.126
277,0.183
278,0.062
279,0.12
280,0.126
281,0.09
282,0.109
283,0.105
284,0.152
285,0.126
286,0.095
287,0.09
288,0.093
289,0.118
290,0.124
291,0.145
292,0.15
293,0.095
294,0.114
295,0.149
296,0.091
297,0.124
298,0.109
299,0.126
300,0.103
301,0.078
302,0.136
303,0.127
304,0.132
305,0.096
306,0.113
307,0.1
308,0.151
309,0.136
310,0.165
311,0.17
312,0.165
313,0.105
314,0.103
315,0.074
316,0.11
317,0.13
318,0.103
319,0.116
320,0.058
321,0.087
322,0.103
323,0.111
324,0.081
325,0.112
326,0.14
327,0.113
328,0.104
329,0.097
330,0.112
331,0.15
332,0.107
333,0.091
334,0.088
335,0.09
336,0.145
337,0.124
338,0.128
339,0.158
340,0.105
341,0.119
342,0.094
343,0.092
344,0.119
345,0.112
346,0.094
347,0.1
348,0.131
349,0.104
350,0.112
351,0.131
352,0.125
353,0.072
354,0.159
355,0.069
356,0.139
357,0.15
358,0.063
359,0.104
360,0.081
361,0.144
362,0.107
363,0.115
364,0.115
365,0.08
366,0.113
367,0.105
368,0.129
369,0.095
370,0.114
371,0.12
372,0.103
373,0.112
374,0.098
375,0.138
376,0.11
377,0.122
378,0.122
379,0.106
380,0.1
381,0.099
382,0.159
383,0.131
384,0.089
385,0.1
386,0.073
387,0.105
388,0.152
389,0.099
390,0.122
391,0.144
392,0.067
393,0.131
394,0.132
395,0.13
396,0.122
397,0.104
398,0.116
399,0.12
400,0.131
401,0.116
402,0.117
403,0.124
404,0.12
405,0.107
406,0.149
407,0.125
408,0.123
409,0.106
410,0.09
411,0.13
412,0.128
413,0.1
414,0.108
415,0.142
416,0.166
417,0.11
418,0.115
419,0.133
420,0.088
421,0.103
422,0.107
423,0.158
424,0.124
425,0.093
426,0.103
427,0.086
428,0.133
429,0.107
430,0.092
431,0.104
432,0.119
433,0.09
434,0.136
435,0.094
436,0.143
437,0.063
438,0.099
439,0.1
440,0.094
441,0.126
442,0.151
443,0.137
444,0.095
445,0.124
446,0.109
447,0.122
448,0.109
449,0.143
450,0.111
451,0.119
452,0.12
453,0.115
454,0.106
455,0.089
456,0.092
457,0.107
458,0.106
459,0.078
460,0.136
461,0.11
462,0.133
463,0.114
464,0.109
465,0.115
466,0.107
467,0.086
468,0.132
469,0.101
470,0.156
471,0.196
472,0.111
473,0.143
474,0.142
475,0.102
476,0.158
