,0
0,0.013
1,0.015
2,0.018
3,0.019
4,0.019
5,0.01
6,0.02
7,0.02
8,0.015
9,0.021
10,0.012
11,0.018
12,0.019
13,0.014
14,0.015
15,0.019
16,0.015
17,0.016
18,0.018
19,0.021
20,0.02
21,0.016
22,0.016
23,0.019
24,0.014
25,0.017
26,0.019
27,0.013
28,0.02
29,0.019
30,0.02
31,0.016
32,0.01
33,0.018
34,0.011
35,0.023
36,0.023
37,0.01
38,0.018
39,0.017
40,0.013
41,0.012
42,0.022
43,0.021
44,0.013
45,0.019
46,0.025
47,0.008
48,0.017
49,0.022
50,0.018
51,0.02
52,0.016
53,0.025
54,0.017
55,0.014
56,0.018
57,0.011
58,0.015
59,0.022
60,0.017
61,0.019
62,0.019
63,0.019
64,0.022
65,0.023
66,0.02
67,0.02
68,0.02
69,0.016
70,0.018
71,0.016
72,0.015
73,0.012
74,0.012
75,0.014
76,0.02
77,0.019
78,0.019
79,0.017
80,0.025
81,0.02
82,0.022
83,0.013
84,0.014
85,0.016
86,0.015
87,0.014
88,0.012
89,0.013
90,0.016
91,0.022
92,0.017
93,0.025
94,0.01
95,0.011
96,0.022
97,0.015
98,0.012
99,0.023
100,0.024
101,0.022
102,0.024
103,0.014
104,0.015
105,0.016
106,0.017
107,0.021
108,0.011
109,0.016
110,0.014
111,0.016
112,0.026
113,0.016
114,0.02
115,0.026
116,0.016
117,0.013
118,0.019
119,0.015
120,0.01
121,0.016
122,0.016
123,0.015
124,0.019
125,0.015
126,0.01
127,0.023
128,0.018
129,0.026
130,0.016
131,0.015
132,0.018
133,0.016
134,0.013
135,0.017
136,0.021
137,0.015
138,0.016
139,0.018
140,0.019
141,0.021
142,0.023
143,0.015
144,0.018
145,0.028
146,0.015
147,0.015
148,0.016
149,0.02
150,0.013
151,0.022
152,0.015
153,0.008
154,0.018
155,0.018
156,0.022
157,0.011
158,0.017
159,0.019
160,0.004
161,0.011
162,0.02
163,0.015
164,0.015
165,0.023
166,0.016
167,0.015
168,0.017
169,0.023
170,0.013
171,0.022
172,0.017
173,0.011
174,0.019
175,0.016
176,0.014
177,0.02
178,0.014
179,0.018
180,0.01
181,0.02
182,0.02
183,0.017
184,0.022
185,0.022
186,0.018
187,0.017
188,0.018
189,0.022
190,0.022
191,0.016
192,0.019
193,0.022
194,0.023
195,0.017
196,0.015
197,0.027
198,0.02
199,0.015
