,0
532,0.034
533,0.046
534,0.047
535,0.039
536,0.057
537,0.117
538,0.056
539,0.107
540,0.049
541,0.099
542,0.216
543,0.072
544,0.021
545,0.053
546,0.105
547,0.173
548,0.078
549,0.044
550,0.116
551,0.089
552,0.051
553,0.05
554,0.053
555,0.108
556,0.104
557,0.206
558,0.144
559,0.105
560,0.038
561,0.074
562,0.121
563,0.073
564,0.146
565,0.099
566,0.1
567,0.196
568,0.052
569,0.053
570,0.049
571,0.102
572,0.199
573,0.059
574,0.046
575,0.158
576,0.058
577,0.076
578,0.093
579,0.025
580,0.116
581,0.067
582,0.116
583,0.139
584,0.134
585,0.024
586,0.042
587,0.079
588,0.063
589,0.126
590,0.018
591,0.051
592,0.058
593,0.171
594,0.064
595,0.088
596,0.106
597,0.031
598,0.211
599,0.136
600,0.07
601,0.048
602,0.157
603,0.053
604,0.114
605,0.079
606,0.09
607,0.077
608,0.071
609,0.061
610,0.08
611,0.116
612,0.091
613,0.081
614,0.072
615,0.032
616,0.101
617,0.073
618,0.074
619,0.01
620,0.102
621,0.063
622,0.126
623,0.04
624,0.142
625,0.05
626,0.138
627,0.089
628,0.124
629,0.037
630,0.068
631,0.115
632,0.116
633,0.05
634,0.153
635,0.14
636,0.095
637,0.034
638,0.068
639,0.028
640,0.094
641,0.014
642,0.035
643,0.054
644,0.1
645,0.141
646,0.105
647,0.136
648,0.04
649,0.219
650,0.097
651,0.082
652,0.021
653,0.151
654,0.054
655,0.113
656,0.022
657,0.091
658,0.035
659,0.129
660,0.111
661,0.127
662,0.121
663,0.082
664,0.129
665,0.119
666,0.048
667,0.144
668,0.104
669,0.034
670,0.069
671,0.033
672,0.016
673,0.066
674,0.092
675,0.129
676,0.104
677,0.172
678,0.129
679,0.056
680,0.05
681,0.104
682,0.101
683,0.09
684,0.039
685,0.094
686,0.1
687,0.085
688,0.11
689,0.056
690,0.077
691,0.132
692,0.022
693,0.05
694,0.089
695,0.077
696,0.099
697,0.032
698,0.105
699,0.038
700,0.032
701,0.134
702,0.061
703,0.074
704,0.186
705,0.086
706,0.05
707,0.02
708,0.038
709,0.078
710,0.124
711,0.073
712,0.069
713,0.079
714,0.121
715,0.156
716,0.027
717,0.1
718,0.126
719,0.059
720,0.213
721,0.067
722,0.046
723,0.044
724,0.088
725,0.221
726,0.118
727,0.054
728,0.028
729,0.016
730,0.107
731,0.031
732,0.095
733,0.066
734,0.093
735,0.034
736,0.055
737,0.135
738,0.106
739,0.031
740,0.099
741,0.227
742,0.054
743,0.048
744,0.031
745,0.092
746,0.081
747,0.107
748,0.034
749,0.032
750,0.103
751,0.165
752,0.017
753,0.212
754,0.05
755,0.039
756,0.126
757,0.183
758,0.055
759,0.067
760,0.047
761,0.005
762,0.065
763,0.053
764,0.231
765,0.059
766,0.108
767,0.079
768,0.017
769,0.065
770,0.117
771,0.084
772,0.062
773,0.086
774,0.066
775,0.22
776,0.15
777,0.098
778,0.123
779,0.114
780,0.092
781,0.064
782,0.129
783,0.051
784,0.058
785,0.048
786,0.182
787,0.087
788,0.082
789,0.067
790,0.045
791,0.097
792,0.065
793,0.093
794,0.096
795,0.153
796,0.047
797,0.05
798,0.206
799,0.036
800,0.068
801,0.109
802,0.028
803,0.095
804,0.151
805,0.116
806,0.037
807,0.077
808,0.099
809,0.085
810,0.092
811,0.051
812,0.174
813,0.081
814,0.152
815,0.148
816,0.041
817,0.063
818,0.229
819,0.082
820,0.044
821,0.165
822,0.024
823,0.096
824,0.111
825,0.11
826,0.114
827,0.095
828,0.066
829,0.074
830,0.149
831,0.17
832,0.04
833,0.042
834,0.107
835,0.061
836,0.051
837,0.08
838,0.044
839,0.154
840,0.123
841,0.163
842,0.055
843,0.042
844,0.082
845,0.121
846,0.039
847,0.108
848,0.058
849,0.095
850,0.096
851,0.045
852,0.018
853,0.209
854,0.124
855,0.055
856,0.117
857,0.103
858,0.082
859,0.119
860,0.071
861,0.082
862,0.063
863,0.101
864,0.095
865,0.032
866,0.089
867,0.208
868,0.228
869,0.045
870,0.065
871,0.037
872,0.216
873,0.112
874,0.046
875,0.114
876,0.071
877,0.091
878,0.051
879,0.081
880,0.104
881,0.032
882,0.047
883,0.102
884,0.073
885,0.084
886,0.117
887,0.041
888,0.072
889,0.207
890,0.066
891,0.114
892,0.07
893,0.047
894,0.039
895,0.129
896,0.033
897,0.134
898,0.131
899,0.097
900,0.071
901,0.225
902,0.222
903,0.071
904,0.117
905,0.075
906,0.096
907,0.03
908,0.048
909,0.066
910,0.094
911,0.029
912,0.052
913,0.04
914,0.044
915,0.133
916,0.057
917,0.04
918,0.062
919,0.073
920,0.079
921,0.102
922,0.066
923,0.071
924,0.078
925,0.21
926,0.06
927,0.062
928,0.089
929,0.172
930,0.079
931,0.165
932,0.053
933,0.159
934,0.107
935,0.334
936,0.069
937,0.045
938,0.107
939,0.065
940,0.069
941,0.032
942,0.04
943,0.177
944,0.069
945,0.071
946,0.084
947,0.081
948,0.11
949,0.033
950,0.077
951,0.052
952,0.033
953,0.098
954,0.124
955,0.061
956,0.106
957,0.023
958,0.041
959,0.116
960,0.172
961,0.05
962,0.107
963,0.104
964,0.178
965,0.143
966,0.065
967,0.05
968,0.128
969,0.062
970,0.051
971,0.062
972,0.074
973,0.108
974,0.108
975,0.073
976,0.067
977,0.166
978,0.035
979,0.096
980,0.195
981,0.067
982,0.144
983,0.262
984,0.145
985,0.086
986,0.07
987,0.217
988,0.146
989,0.034
990,0.113
991,0.059
992,0.054
993,0.058
994,0.046
995,0.041
996,0.109
997,0.044
998,0.125
999,0.122
